name,country,subcountry,geonameid
Pinto,España,Madrid,3113415
Pineda de Mar,España,Cataluña,3113526
Parla,España,Madrid,3114256
Parets del Vallès,España,Cataluña,3114267
Pamplona,España,Navarre,3114472
Palencia,España,Castilla y León,3114531
Palamós,España,Cataluña,3114566
Palafrugell,España,Cataluña,3114567
Oviedo,España,Asturias,3114711
Oria,España,País Vasco,3114957
Ourense,España,Galicia,3114965
Olot,España,Cataluña,3115093
Olesa de Montserrat,España,Cataluña,3115171
Oleiros,España,Galicia,3115177
Nigrán,España,Galicia,3115463
Navalcarnero,España,Madrid,3115659
Narón,España,Galicia,3115739
Mungia,España,País Vasco,3115907
Móstoles,España,Madrid,3116025
Moratalaz,España,Madrid,3116156
Monzón,España,Aragón,3116224
Montornès del Vallès,España,Cataluña,3116262
Monforte de Lemos,España,Galicia,3116478
Arrasate / Mondragón,España,País Vasco,3116503
Montcada i Reixac,España,Cataluña,3116527
Mollet del Vallès,España,Cataluña,3116553
Molins de Rei,España,Cataluña,3116562
Moaña,España,Galicia,3116653
Miranda de Ebro,España,Castilla y León,3116689
Mieres,España,Asturias,3116789
Mejorada del Campo,España,Madrid,3116963
Medina del Campo,España,Castilla y León,3117010
Mataró,España,Cataluña,3117164
El Masnou,España,Cataluña,3117232
Martorell,España,Cataluña,3117331
Marín,España,Galicia,3117409
Manresa,España,Cataluña,3117533
Manlleu,España,Cataluña,3117539
Malgrat de Mar,España,Cataluña,3117636
Majadahonda,España,Madrid,3117667
Madrid,España,Madrid,3117735
Lugo,España,Galicia,3117814
Logroño,España,La Rioja,3118150
Lloret de Mar,España,Cataluña,3118212
Laudio / Llodio,España,País Vasco,3118228
Lleida,España,Cataluña,3118514
León,España,Castilla y León,3118532
Leioa,España,País Vasco,3118554
Leganés,España,Madrid,3118594
Las Rozas de Madrid,España,Madrid,3118848
Lasarte,España,País Vasco,3119027
La Pineda,España,Cataluña,3119231
Lalín,España,Galicia,3119536
Laguna de Duero,España,Castilla y León,3119631
A Estrada,España,Galicia,3119746
A Coruña,España,Galicia,3119841
Irun,España,País Vasco,3120304
Illescas,España,Castille-La Mancha,3120410
Igualada,España,Cataluña,3120431
Humanes de Madrid,España,Madrid,3120501
Huesca,España,Aragón,3120514
L'Hospitalet de Llobregat,España,Cataluña,3120619
Hortaleza,España,Madrid,3120635
Hernani,España,País Vasco,3120811
Gernika-Lumo,España,País Vasco,3120989
Getxo,España,País Vasco,3121007
